Restaurant_Name,Cuisine1,Cuisine2,Cuisine3,Cuisine4,Cuisine5,Cuisine6,Cuisine7,Cuisine8,Category,Pricing_for_2,Locality in Pune,Dining_Rating
Hotel Sarthak,North Indian,East Asian,Indian (other),MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese, Mughlai",500, Wagholi,3.2
Cafe Royal,Pizza,Fast Food,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Pizza, Fast Food, Beverages",200, Bhosari,3.2
Potli,East Asian,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Chinese, North Indian",350, Wanowrie,3.2
Giani Ice Cream,Ice Cream,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Ice Cream, Beverages",200, Dhanori,3.2
Ajantha,Indian (other),Street Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Mithai, Street Food",200, Sadashiv Peth,3.2
Brew Bakes,Coffee and Tea,Fast Food,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Cafe, Fast Food, Beverages",500, Balewadi,3.2
Hande Misal,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Maharashtrian,150,Pimple Saudagar,3.2
Hotel Sinhagad,North Indian,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese",600,Sinhgad Road,3.2
Murugan Idli Center,South Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,South Indian,150, Rasta Peth,3.2
Hotel Samrudhi,North Indian,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Maharashtrian, North Indian",300, Undri,3.2
Goli Vada Pav No. 1,Street Food,Fast Food,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,"Street Food, Fast Food, Maharashtrian",150, Narhe,3.2
A1 Chikki,Indian (other),MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Mithai,300, Lonavala,3.2
New Szechuan Shack Family Restaurant,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Chinese,300, Pimpri,3.2
Sankalp Pure Veg,North Indian,Middle Eastern,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Maharashtrian, Chinese",300,Chakan,3.2
Cafe 52,Fast Food,Middle Eastern,Middle Eastern,Oriental,Rolls,MISSING,MISSING,MISSING,"Fast Food, Lebanese, Parsi, Chinese, Rolls",400, Camp Area,3.2
Taj Sweets,Indian (other),MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Mithai,150, Kondhawa,3.2
Carnival Pizza King,Pizza,Fast Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Pizza, Fast Food",350, Akurdi,3.2
Golden Dragon,East Asian,North Indian,Seafood,Indian (other),MISSING,MISSING,MISSING,MISSING,"Chinese, North Indian, Seafood, Mughlai",500, Bhosari,3.2
Hotel Reddy,North Indian,East Asian,Kebab,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese, Kebab",600, Hadapsar,3.2
Shree Inn,North Indian,South Indian,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, South Indian, Chinese",400,Kalyani Nagar,3.2
Hotel Sai Sagar Pure Veg,North Indian,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese",400, Pimpri,3.2
Food Junction Express,European,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Italian,300, Wanowrie,3.2
Hotel Savali Family Garden Hotel,North Indian,East Asian,Seafood,Kebab,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese, Seafood, Kebab",550, Talegaon,3.2
Hotel Jay Malhar,North Indian,North Indian,Beverages,Oriental,MISSING,MISSING,MISSING,MISSING,"Maharashtrian, North Indian, Beverages, Chinese",350, Bhosari,3.2
Govinda's Chats,Street Food,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Street Food, Beverages",150, Kharadi,3.2
Alfa Hotel,North Indian,East Asian,Indian (other),Street Food,Beverages,MISSING,MISSING,MISSING,"North Indian, Chinese, Mughlai, Street Food, Beverages",500, Pimpri,3.2
The Cake & Cream Factory,Desserts,Bakery,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Desserts, Bakery",350, Pimple Gurav,3.2
K.D.S Cafe,Himalayan,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Momos, Chinese",200, Bhosari,3.2
Anna Vadapav,Street Food,South Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Street Food, South Indian",100, Dhanori,3.2
The Maha-Irani Cafe,Fast Food,Street Food,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Fast Food, Street Food, Beverages",300, Kothrud,3.2
Santosh Fish House Veg & Non Veg,North Indian,North Indian,Fast Food,MISSING,MISSING,MISSING,MISSING,MISSING,"Maharashtrian, North Indian, Fast Food",450, Wadgaon Sheri,3.2
Street Affair Served With Love,Fast Food,North Indian,East Asian,Beverages,Sandwich,Street Food,MISSING,MISSING,"Fast Food, North Indian, Chinese, Beverages, Sandwich, Street Food",200, Wakad,3.2
Nisarg Garden Dhaba,North Indian,Middle Eastern,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Maharashtrian",450, Katraj,3.2
Paradise Kabab & Biryani,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,North Indian,500,Pimple Saudagar,3.2
Hotel Rajyog,North Indian,East Asian,North Indian,Indian (other),MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese, Malwani, Mughlai",650,Hinjawadi,3.2
Jassi Da Khana Khazana,East Asian,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Chinese, North Indian",300,Sinhgad Road,3.2
The Breakfast Story,Fast Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Fast Food,300, Karve Nagar,3.2
M Purohit Sweets,Indian (other),Street Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Mithai, Street Food",100, Undri,3.2
All The Best Restaurant,Indian (other),Rolls,Fast Food,Beverages,South Indian,MISSING,MISSING,MISSING,"Biryani, Rolls, Fast Food, Beverages, South Indian",300, Kharadi,3.2
Hotel Gurudatta Fast Food And Snacks,South Indian,Street Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"South Indian, Street Food",200, Kothrud,3.2
R.K Chinese House,East Asian,Seafood,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Chinese, Seafood",400, Katraj,3.2
Mungarwadiz Mirchi,North Indian,Middle Eastern,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Maharashtrian, Chinese",450, Kharadi,3.2
The Noodle Story,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Chinese,600,Magarpatta,3.2
Greedy's Cafe,Fast Food,Street Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Fast Food, Street Food",450,Sinhgad Road,3.2
Maurya Snacks And Juice Bar,East Asian,South Indian,North Indian,Juices,MISSING,MISSING,MISSING,MISSING,"Chinese, South Indian, North Indian, Juices",350, Hadapsar,3.2
Pakko Biryani House,Indian (other),North Indian,Indian (other),MISSING,MISSING,MISSING,MISSING,MISSING,"Biryani, North Indian, Mughlai",400, Yerawada,3.2
Hotel Marymatha,South Indian,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"South Indian, North Indian",350,Bund Garden Road,3.2
Jai Malhar,North Indian,Street Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Street Food",250, Khadki,3.2
Chopstick Chinese Fast Food,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Chinese,300, Bhosari,3.2
Caneyard,Juices,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Juices, Beverages",150, Camp Area,3.2
Engineer's Fastfood And Chinese Center,East Asian,Fast Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Chinese, Fast Food",300,Kalyani Nagar,3.2
Rao Chaha & Rahul Wadewale,Street Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Street Food,150, Kharadi,3.2
China Bowl,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Chinese,200, Dhankawadi,3.2
Anand Pavbhaji,Fast Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Fast Food,200, Karve Nagar,3.2
Roll Xpress,Rolls,East Asian,Fast Food,MISSING,MISSING,MISSING,MISSING,MISSING,"Rolls, Chinese, Fast Food",600, Nigdi,3.2
Neels Kitchen,North Indian,East Asian,Street Food,Fast Food,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese, Street Food, Fast Food",350, Chinchwad,3.2
Jaganath Bhel,North Indian,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese",350, Shivapur,3.2
La Cheezy - Fresh Pizza From The Oven,Pizza,Fast Food,Beverages,Ice Cream,MISSING,MISSING,MISSING,MISSING,"Pizza, Fast Food, Beverages, Ice Cream",500,Dhole Patil Road,3.2
Khao Piyo Khisko,Desserts,Street Food,Sandwich,Beverages,MISSING,MISSING,MISSING,MISSING,"Desserts, Street Food, Sandwich, Beverages",300,NIBM Road,3.2
Hotel Grand Malhar,North Indian,East Asian,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese, Malwani",450,Hinjawadi,3.2
Master Shifuu,East Asian,Seafood,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Chinese, Seafood",700, Katraj,3.2
Cafe 99,Burger,Pizza,Fast Food,Beverages,MISSING,MISSING,MISSING,MISSING,"Burger, Pizza, Fast Food, Beverages",200, Kondhawa,3.2
Jagdamb Hotel & Chinese,East Asian,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Chinese, North Indian",450, Kharadi,3.2
Mr. Gelato,Desserts,Fast Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Desserts, Fast Food",200, Sadashiv Peth,3.2
Shabnam Hotel,North Indian,Indian (other),MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Mughlai",250, Yerawada,3.2
Abhi's Corner,Street Food,Fast Food,Indian (other),Indian (other),MISSING,MISSING,MISSING,MISSING,"Street Food, Fast Food, Pizza, Pasta",200, Sadashiv Peth,3.2
Shubham Mess,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Maharashtrian,200, Nigdi,3.2
Cafe Katta Kharadi,Pizza,Burger,Fast Food,Beverages,MISSING,MISSING,MISSING,MISSING,"Pizza, Burger, Fast Food, Beverages",300, Wadgaon Sheri,3.2
Zishan Caterers,Indian (other),MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Biryani,200, Chandan Nagar,3.2
Shokeen Burger,Burger,Wraps,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Burger, Wraps, Beverages",300, Hadapsar,3.2
New Chopstick Hub,North Indian,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese",600,Dhole Patil Road,3.2
KP's Pizza,Fast Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Fast Food,250, Pimple Gurav,3.2
Shrusti Tiffin Services,North Indian,South Indian,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, South Indian, Maharashtrian",250, Wakad,3.2
Kuhu Cafe,Coffee and Tea,East Asian,European,MISSING,MISSING,MISSING,MISSING,MISSING,"Cafe, Chinese, Continental",500,FC Road,3.2
Creamy Nuts,Fast Food,Beverages,Desserts,Burger,Sandwich,Other Indian,MISSING,MISSING,"Fast Food, Beverages, Desserts, Burger, Sandwich, Pizza",400, Bhosari,3.2
Shawarma Spot,Middle Eastern,Rolls,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Lebanese, Rolls, Beverages",300,Magarpatta,3.2
Mad Over Cake Cafe,Bakery,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Bakery,200, Pimpri,3.2
Labbaik Restaurant,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Chinese,300, Kondhawa,3.2
Shree Ram Kitchen,South Indian,North Indian,Fast Food,MISSING,MISSING,MISSING,MISSING,MISSING,"South Indian, North Indian, Fast Food",400, Parvati,3.2
Cafe Creamy Nuts,Fast Food,Sandwich,Ice Cream,Beverages,MISSING,MISSING,MISSING,MISSING,"Fast Food, Sandwich, Ice Cream, Beverages",300, Dange Chowk,3.2
MH-14 Cafe,Fast Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Fast Food,200, Ravet,3.2
Hotel Gandharv,North Indian,Street Food,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Street Food, Beverages",300, Kothrud,3.2
Lazeez Corner,North Indian,East Asian,Fast Food,Indian (other),MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese, Fast Food, Mughlai",500, Kondhawa,3.2
3 Brothers The Pizzeria,Pizza,Fast Food,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Pizza, Fast Food, Beverages",400, Pashan,3.2
Eatables,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Chinese,500, Warje,3.2
Cafe Pune,Beverages,Fast Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Beverages, Fast Food",400,NIBM Road,3.2
Yes! Momos & Maggi,Himalayan,Fast Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Momos, Fast Food",100, Chandan Nagar,3.2
Cake Magic,Bakery,Desserts,Fast Food,MISSING,MISSING,MISSING,MISSING,MISSING,"Bakery, Desserts, Fast Food",300, Wagholi,3.2
Hotel Sahara,North Indian,North Indian,East Asian,Indian (other),MISSING,MISSING,MISSING,MISSING,"Maharashtrian, North Indian, Chinese, Mughlai",600, Dange Chowk,3.2
Chinese Corner,East Asian,Middle Eastern,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,"Chinese, Maharashtrian, North Indian",350, Budhwar Peth,3.2
Espresso Love Cafe,Pizza,Fast Food,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Pizza, Fast Food, Beverages",500, Nigdi,3.2
The Fresh Cakes,Bakery,Desserts,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Bakery, Desserts",300, Vishrantwadi,3.2
Jay Malhar Hotel,North Indian,Middle Eastern,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Maharashtrian",400, Kharadi,3.2
Cup a Tea,Street Food,Fast Food,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Street Food, Fast Food, Beverages",350, Balewadi,3.2
Morya Chinese,East Asian,Street Food,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Chinese, Street Food, Beverages",500, Kothrud,3.2
Coffee With Friends,Coffee and Tea,Coffee and Tea,Beverages,Fast Food,MISSING,MISSING,MISSING,MISSING,"Cafe, Coffee, Beverages, Fast Food",350, Mundhwa,3.2
Anna's Food Junction,Street Food,South Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Street Food, South Indian",150,Chakan,3.2
Vicky Delighting Dishes,East Asian,Fast Food,Rolls,Himalayan,MISSING,MISSING,MISSING,MISSING,"Chinese, Fast Food, Rolls, Momos",350, Aundh,3.2
Three Good Guys,Fast Food,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Fast Food, Beverages",250, Viman Nagar,3.2
36 China Town,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Chinese,200, Sadashiv Peth,3.2
Dietzone & Cafezone,Fast Food,Healthy Food,Indian (other),MISSING,MISSING,MISSING,MISSING,MISSING,"Fast Food, Healthy Food, Pizza",300, Shivane,3.2
Hotel Malhar,North Indian,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Maharashtrian, North Indian",500, Aundh,3.2
84 The Fusion,North Indian,East Asian,European,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese, Italian",300, Karve Nagar,3.2
Crown,North Indian,South Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, South Indian",300, Khadki,3.2
Zakkas Food Mall,East Asian,South Indian,Rolls,Juices,East Asian,Burger,Beverages,North Indian,"Chinese, South Indian, Rolls, Juices, Pizza, Burger, Beverages, North Indian",400, Karve Nagar,3.2
Rocky Chinese Corner,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Chinese,250, Pimpri,3.2
Cafe Greedy Box,Fast Food,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Fast Food, Beverages",400, Dhanori,3.2
Kqueen Hotels,North Indian,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Maharashtrian, Chinese",450, Hadapsar,3.2
Frozen Shakes,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Beverages,400, Koregaon Park,3.2
Cafe Umesh,Coffee and Tea,Fast Food,Ice Cream,Beverages,MISSING,MISSING,MISSING,MISSING,"Cafe, Fast Food, Ice Cream, Beverages",500,Sinhgad Road,3.2
SM Restaurant & Bar,East Asian,North Indian,Indian (other),MISSING,MISSING,MISSING,MISSING,MISSING,"Chinese, North Indian, Mughlai",500, Lonavala,3.2
Hotel Ajinkyatara Pure Veg,North Indian,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese",300, Talegaon,3.2
Eater's Cafe,North Indian,Fast Food,East Asian,Beverages,MISSING,MISSING,MISSING,MISSING,"North Indian, Fast Food, Chinese, Beverages",400, Wagholi,3.2
SV Dum Briyani,Indian (other),MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Biryani,700, Sadashiv Peth,3.2
Ashnee's Kebab Junction,Indian (other),Indian (other),MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Mughlai, Biryani",600, Pashan,3.2
Hotel Visava,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Maharashtrian,300, Balewadi,3.2
Priyas Restaurant,North Indian,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese",400, Dehu Road,3.2
Hotel Rajyog,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Maharashtrian,200, Dhankawadi,3.2
Basil Cafe,Pizza,Sandwich,Fast Food,Beverages,MISSING,MISSING,MISSING,MISSING,"Pizza, Sandwich, Fast Food, Beverages",350, Pimple Gurav,3.2
JD'S Chinese Bistro,East Asian,North Indian,North Indian,Indian (other),Kebab,MISSING,MISSING,MISSING,"Chinese, North Indian, Maharashtrian, Biryani, Kebab",400,Sinhgad Road,3.2
Shaukeen Biryani & Rolls,Rolls,Indian (other),MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Rolls, Biryani",300, Chinchwad,3.2
Hotel Maharaja,North Indian,East Asian,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese, Maharashtrian",450,Hinjawadi,3.2
Hotel Great India,North Indian,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Maharashtrian, North Indian",250, Hadapsar,3.2
Kuchen Cafe,Bakery,Desserts,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Bakery, Desserts",350, Kothrud,3.2
SV'S PARATHA HOUSE,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,North Indian,200, Hadapsar,3.2
S R Chinese,East Asian,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Chinese, North Indian",300, Katraj,3.2
Slice One,Sandwich,Fast Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Sandwich, Fast Food",500, Viman Nagar,3.2
Hotel Sai,North Indian,Indian (other),North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Mughlai, Maharashtrian",500, Dhankawadi,3.2
Jeevan Tea Center,Beverages,Street Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Beverages, Street Food",100, Karve Nagar,3.2
Coffee All Day,Fast Food,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Fast Food, Beverages",350, Lohegaon,3.2
A1 Chinese Restaurant,East Asian,Indian (other),MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Chinese, Mughlai",300,Sinhgad Road,3.2
Picasso The Restaurant,South Indian,North Indian,Street Food,Indian (other),Beverages,MISSING,MISSING,MISSING,"South Indian, North Indian, Street Food, Biryani, Beverages",200, Nigdi,3.2
Frozen Shakes,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Beverages,300, Erandwane,3.2
Hotel Tuljai,North Indian,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Maharashtrian, North Indian",300, Akurdi,3.2
Hotel Vikram Misal,Street Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Street Food,250, Kharadi,3.2
Insta Cafe,Sandwich,Fast Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Sandwich, Fast Food",250, Wakad,3.2
Shree Ji Corner,Fast Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Fast Food,200, Hadapsar,3.2
Rolls Hub,Fast Food,Rolls,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Fast Food, Rolls",300, Talegaon,3.2
Asmi's Bistro,Fast Food,Beverages,Sandwich,MISSING,MISSING,MISSING,MISSING,MISSING,"Fast Food, Beverages, Sandwich",350, Pashan,3.2
SG's Misal,North Indian,Street Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Maharashtrian, Street Food",150, Vishrantwadi,3.2
Coffee All Day,Desserts,Fast Food,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Desserts, Fast Food, Beverages",400, Karve Nagar,3.2
Cafe Diamond King,North Indian,Fast Food,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Fast Food, Chinese",500, Wanowrie,3.2
Scallions,North Indian,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Maharashtrian, North Indian",500, Baner,3.2
Masala Meals,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,North Indian,250, Wagholi,3.2
Rolls Way,Rolls,Fast Food,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Rolls, Fast Food, Beverages",200, Wadgaon Sheri,3.2
Zazu Chicken Xprs,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,North Indian,400, Shivaji Nagar,3.2
Pick Me Up,Fast Food,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Fast Food, Beverages",400, Dhanori,3.2
New Hyderabadi Lajij Special Dum Biryani,Indian (other),South Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Biryani, Hyderabadi",400, Karve Nagar,3.2
Shree Kunj Pure Veg,North Indian,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese",600,Hinjawadi,3.2
Mom's Magic,Fast Food,South Indian,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Fast Food, South Indian, Beverages",200, Chinchwad,3.2
Food Ka Mood,North Indian,Street Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Maharashtrian, Street Food",150, Karve Nagar,3.2
Hotel Maharaj,East Asian,Street Food,Fast Food,Beverages,MISSING,MISSING,MISSING,MISSING,"Chinese, Street Food, Fast Food, Beverages",400,Hinjawadi,3.2
SK Chinese And Biryani House,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Chinese,300, Hadapsar,3.2
Morya,Fast Food,Street Food,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Fast Food, Street Food, Beverages",200, Deccan Gymkhana,3.2
Hariom Hotel,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,North Indian,300, Karve Nagar,3.2
MH 12 Momos Junction,Himalayan,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Momos,250, Hadapsar,3.2
Thawal Food,Fast Food,Rolls,Burger,Pizza,Sandwich,Beverages,MISSING,MISSING,"Fast Food, Rolls, Burger, Pizza, Sandwich, Beverages",300, Kharadi,3.2
Brajjrass,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,North Indian,400, Mundhwa,3.2
Hot Basket,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Chinese,400, Talawade,3.2
Champs Pizza,Pizza,Fast Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Pizza, Fast Food",300, Hadapsar,3.2
Hungry Folks,North Indian,North Indian,East Asian,Fast Food,Beverages,MISSING,MISSING,MISSING,"Maharashtrian, North Indian, Chinese, Fast Food, Beverages",350, Ravet,3.2
RN Cafe,East Asian,Street Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Chinese, Street Food",300, Kondhawa,3.2
Shaikh Darbar,East Asian,Middle Eastern,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Chinese, Arabian",400, Pimple Nilakh,3.2
Aai Dining Hall,North Indian,Indian (other),MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Biryani",200, Aundh,3.2
The Indian Foodie,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Chinese,250, Dhanori,3.2
Hot N Cold,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Chinese,300, Lohegaon,3.2
Om Sai Biryani House,North Indian,Indian (other),Indian (other),MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Mughlai, Biryani",500, Sadashiv Peth,3.2
Rollingway,Rolls,Fast Food,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Rolls, Fast Food, Beverages",400, Wadgaon Sheri,3.2
Chinese & Barbecue,East Asian,Fast Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Chinese, Fast Food",400, Wakad,3.2
Hott Spiice Restaurant,North Indian,North Indian,Seafood,Fast Food,Beverages,MISSING,MISSING,MISSING,"North Indian, Goan, Seafood, Fast Food, Beverages",600, Bavdhan,3.2
Hotel MH 14,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Maharashtrian,150, Wakad,3.2
Biryani Bazaar,Indian (other),MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Biryani,500, Wanowrie,3.2
Manpasand Biryani House,Indian (other),North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Biryani, North Indian",700, Narhe,3.2
Amrut Testy Paratha,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,North Indian,150, Karve Nagar,3.2
Roughtaar Rider's Cafe,Burger,Sandwich,Fast Food,MISSING,MISSING,MISSING,MISSING,MISSING,"Burger, Sandwich, Fast Food",300, Viman Nagar,3.2
Punjabi Zaika,Indian (other),MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Biryani,250, Chinchwad,3.2
Indian Tadka Express,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,North Indian,300, Dhanori,3.2
The Punjabi Junction,North Indian,East Asian,Street Food,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese, Street Food",300, Aundh,3.2
