Restaurant_Name,Cuisine1,Cuisine2,Cuisine3,Cuisine4,Cuisine5,Cuisine6,Cuisine7,Cuisine8,Category,Pricing_for_2,Locality in Pune,Dining_Rating
Saudade,North Indian,South Indian,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, South Indian, Chinese",800, Bavdhan,3.7
Southin Cafe,Indian (other),North Indian,South Indian,Oriental,MISSING,MISSING,MISSING,MISSING,"Biryani, North Indian, South Indian, Chinese",400, Kharadi,3.7
The Coffee Cafe,Fast Food,Beverages,Burger,MISSING,MISSING,MISSING,MISSING,MISSING,"Fast Food, Beverages, Burger",500, Kharadi,3.7
Crossbar,East Asian,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Chinese, North Indian",750, Kondhawa,3.7
Vihaan's,Seafood,North Indian,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,"Seafood, North Indian, Chinese",850, Viman Nagar,3.7
The Wood House,North Indian,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese",750, Viman Nagar,3.7
Kanchan Family Restaurants,North Indian,Middle Eastern,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Maharashtrian, Chinese",500, Kondhawa,3.7
Hotel Virinda,North Indian,Seafood,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Seafood, Chinese",500,Hinjawadi,3.7
Sai Shivneri,North Indian,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese",600, Yerawada,3.7
Kitchen Family Restaurant,North Indian,East Asian,Kebab,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese, Kebab",750, Akurdi,3.7
Red Chillies Resto Bar,North Indian,East Asian,Indian (other),North Indian,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese, Mughlai, Malwani",1000, Camp Area,3.7
Chatpatlal Pure Veg,North Indian,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese",400,Magarpatta,3.7
UniKco Resto & Lounge,North Indian,European,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Continental",700, Viman Nagar,3.7
NK Restaurant,North Indian,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese",400, Viman Nagar,3.7
The Spirits Restro Bar,East Asian,North Indian,Fast Food,European,MISSING,MISSING,MISSING,MISSING,"Chinese, North Indian, Fast Food, Continental",550, Wadgaon Sheri,3.7
Mauli Pure Veg Restaurant,South Indian,North Indian,East Asian,Fast Food,MISSING,MISSING,MISSING,MISSING,"South Indian, North Indian, Chinese, Fast Food",500, Undri,3.7
Sudarshan,Bar Food,East Asian,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,"Bar Food, Chinese, North Indian",500, Khadki,3.7
Cafe Milano,Coffee and Tea,European,Fast Food,Healthy Food,MISSING,MISSING,MISSING,MISSING,"Cafe, Italian, Fast Food, Salad",500, Viman Nagar,3.7
Cafe Coffee Hutt,Fast Food,Burger,Sandwich,Beverages,MISSING,MISSING,MISSING,MISSING,"Fast Food, Burger, Sandwich, Beverages",500, Wakad,3.7
Aamhi Pohekar,Street Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Street Food,200, Sadashiv Peth,3.7
Hotel Gayatri,North Indian,North Indian,Indian (other),Indian (other),MISSING,MISSING,MISSING,MISSING,"Maharashtrian, North Indian, Mughlai, Biryani",650, Aundh,3.7
IMDR Canteen,Fast Food,South Indian,Coffee and Tea,North Indian,MISSING,MISSING,MISSING,MISSING,"Fast Food, South Indian, Tea, North Indian",200,FC Road,3.7
Hotel Rassa Handi,North Indian,North Indian,Indian (other),MISSING,MISSING,MISSING,MISSING,MISSING,"Maharashtrian, North Indian, Mughlai",500, Ravet,3.7
Rohan's Swadpurty,North Indian,East Asian,Seafood,Indian (other),MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese, Seafood, Mughlai",700, Dhankawadi,3.7
Shahi Angare,East Asian,North Indian,Indian (other),Kebab,Rajasthani,MISSING,MISSING,MISSING,"Chinese, North Indian, Mughlai, Kebab, Malwani",450, Nigdi,3.7
Nagpur Saoji,North Indian,Middle Eastern,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Maharashtrian",500, Kothrud,3.7
Khasbag Misal,Street Food,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Street Food, Beverages",200, Baner,3.7
Laxmi Juice Bar And Snacks Centre,South Indian,Fast Food,East Asian,Beverages,MISSING,MISSING,MISSING,MISSING,"South Indian, Fast Food, Chinese, Beverages",300, Narhe,3.7
Ganga Litti City,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Bihari,150, Hadapsar,3.7
Arun Ice Cream,Ice Cream,Desserts,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Ice Cream, Desserts",200, Kothrud,3.7
A1 Chinese,East Asian,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Chinese, North Indian",450, Kothrud,3.7
Classic Pani Puri,Street Food,Sandwich,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Street Food, Sandwich",150, Viman Nagar,3.7
Virinda Pav Bhaji,Fast Food,Street Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Fast Food, Street Food",300, Chinchwad,3.7
Wow! China By Wow! Momo,East Asian,Asian (unspecified),MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Chinese, Asian",600, Chinchwad,3.7
Barista,Coffee and Tea,Sandwich,Fast Food,Beverages,Coffee and Tea,MISSING,MISSING,MISSING,"Cafe, Sandwich, Fast Food, Beverages, Coffee",700,Pimple Saudagar,3.7
Kitabi Chai,Coffee and Tea,Fast Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Cafe, Fast Food",350,NIBM Road,3.7
New Uppala,North Indian,Indian (other),MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Mughlai",400, Wadgaon Sheri,3.7
Hotel Shivneri Misal,Street Food,Middle Eastern,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Street Food, Maharashtrian",150, Pune-Solapur Road,3.7
Bubble Bee,Desserts,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Desserts, Beverages",400,NIBM Road,3.7
Bake 'N' Cake,Bakery,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Bakery,100, Viman Nagar,3.7
Sudama Bhel,Street Food,Fast Food,Burger,MISSING,MISSING,MISSING,MISSING,MISSING,"Street Food, Fast Food, Burger",200, Vishrantwadi,3.7
Soham Dinning Hall and Food Zone,North Indian,Middle Eastern,Beverages,Fast Food,MISSING,MISSING,MISSING,MISSING,"North Indian, Maharashtrian, Beverages, Fast Food",300, Shivaji Nagar,3.7
Hari Om Juice bar,Juices,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Juices, Beverages",200,Sinhgad Road,3.7
Indrayani Veg Nonveg,North Indian,North Indian,East Asian,Himalayan,Indian (other),MISSING,MISSING,MISSING,"North Indian, Malwani, Chinese, Momos, Biryani",550, Lohegaon,3.7
Andhra Tiffins And Biryani,Indian (other),South Indian,South Indian,North Indian,MISSING,MISSING,MISSING,MISSING,"Biryani, South Indian, Andhra, North Indian",400, Chinchwad,3.7
The Biryani Bliss,Indian (other),Middle Eastern,Indian (other),MISSING,MISSING,MISSING,MISSING,MISSING,"Biryani, Lebanese, Mughlai",350, Yerawada,3.7
De Baillio,Coffee and Tea,Bakery,Fast Food,Beverages,Desserts,MISSING,MISSING,MISSING,"Cafe, Bakery, Fast Food, Beverages, Desserts",450, Baner,3.7
Coffee Culture,Coffee and Tea,European,Fast Food,MISSING,MISSING,MISSING,MISSING,MISSING,"Cafe, Italian, Fast Food",800, Fatima Nagar,3.7
Assal Marathmola Hotel,North Indian,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Malwani",500, Hadapsar,3.7
Rajveer Pure Veg,East Asian,South Indian,North Indian,Kebab,MISSING,MISSING,MISSING,MISSING,"Chinese, South Indian, North Indian, Kebab",500, Katraj,3.7
Big M's,Coffee and Tea,The Americas,Fast Food,Beverages,European,The Americas,MISSING,MISSING,"Cafe, American, Fast Food, Beverages, Italian, Mexican",500, Aundh,3.7
Brotariza,Rolls,East Asian,Middle Eastern,MISSING,MISSING,MISSING,MISSING,MISSING,"Rolls, Chinese, Lebanese",250, Nigdi,3.7
Café Chocolicious,Fast Food,European,Indian (other),Burger,Desserts,Beverages,MISSING,MISSING,"Fast Food, Italian, Pizza, Burger, Desserts, Beverages",400, Pimpri,3.7
Gandharv Pure Veg,North Indian,South Indian,Fast Food,Oriental,MISSING,MISSING,MISSING,MISSING,"North Indian, South Indian, Fast Food, Chinese",600, Ravet,3.7
Hotel Shree Vinayaka Pure Veg,South Indian,East Asian,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,"South Indian, Chinese, North Indian",400, Pimple Gurav,3.7
Zaika Kathi Roll,Rolls,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Rolls,200, Kothrud,3.7
D.K. Biryani House,Indian (other),North Indian,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,"Biryani, North Indian, Chinese",400,Sinhgad Road,3.7
Spice Island Chinese,East Asian,North Indian,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,"Chinese, North Indian, Maharashtrian",550, Yerawada,3.7
Hakka Chow,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Chinese,600,Kalyani Nagar,3.7
Misal Chulivarchi,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Maharashtrian,200, Baner,3.7
Aavees,Indian (other),North Indian,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,"Biryani, Malwani, North Indian",400, Rasta Peth,3.7
Ye Lo Litti,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Bihari,150,Magarpatta,3.7
Dwarka Ice Cream & Snacks Center,Fast Food,Street Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Fast Food, Street Food",300,Sinhgad Road,3.7
Reddy's Biryani Zone,North Indian,Seafood,Indian (other),Kebab,East Asian,Indian (other),MISSING,MISSING,"North Indian, Seafood, Mughlai, Kebab, Chinese, Biryani",800, Pimple Nilakh,3.7
